2024-06-29 15:35:43,237 - INFO - Trial 0: learning_rate=0.003823330814785998, batch_size=64, num_layers=2, dropout_prob=0.5001415854332346, accuracy=0.8613069789616141
2024-06-29 15:39:10,697 - INFO - Trial 1: learning_rate=3.3806369247307285e-05, batch_size=32, num_layers=4, dropout_prob=0.4883063323508856, accuracy=0.8346769077571359
2024-06-29 15:42:36,310 - INFO - Trial 2: learning_rate=7.3436480537365e-05, batch_size=16, num_layers=4, dropout_prob=0.48446453353490404, accuracy=0.8489403912401575
2024-06-29 15:43:44,510 - INFO - Trial 3: learning_rate=1.7444793548005015e-05, batch_size=64, num_layers=2, dropout_prob=0.9587817668438375, accuracy=0.8346764271653543
2024-06-29 15:44:52,152 - INFO - Trial 4: learning_rate=0.02269192949444577, batch_size=32, num_layers=2, dropout_prob=0.5979510470914368, accuracy=0.8465182086614174
2024-06-29 15:46:40,256 - INFO - Trial 5: learning_rate=0.00011389874295278638, batch_size=64, num_layers=3, dropout_prob=0.0684968891390818, accuracy=0.846090241679995
2024-06-29 15:47:47,198 - INFO - Trial 6: learning_rate=9.693884563002791e-05, batch_size=64, num_layers=2, dropout_prob=0.33866810067953856, accuracy=0.8348506416861466
2024-06-29 15:48:56,045 - INFO - Trial 7: learning_rate=0.06118296894509183, batch_size=32, num_layers=2, dropout_prob=0.5438651019410322, accuracy=0.8346874807763287
2024-06-29 15:50:44,619 - INFO - Trial 8: learning_rate=0.00015985023591935418, batch_size=16, num_layers=3, dropout_prob=0.5241339249216486, accuracy=0.8557191383181595
2024-06-29 15:51:39,367 - INFO - Trial 9: learning_rate=0.00014058951989293333, batch_size=16, num_layers=1, dropout_prob=0.044818209448095, accuracy=0.8358685350793553
2024-06-29 15:52:23,718 - INFO - Trial 10: learning_rate=0.00266944649663837, batch_size=64, num_layers=1, dropout_prob=0.8342694681704806, accuracy=0.8494433305394931
2024-06-29 16:00:15,241 - INFO - Trial 11: learning_rate=0.0014036442393733312, batch_size=16, num_layers=5, dropout_prob=0.7215763057900695, accuracy=0.8354251891609252
2024-06-29 16:02:06,867 - INFO - Trial 12: learning_rate=0.0058382870391426945, batch_size=16, num_layers=3, dropout_prob=0.2881725743855027, accuracy=0.8671920656219242
2024-06-29 16:05:28,982 - INFO - Trial 13: learning_rate=0.007941133703584596, batch_size=64, num_layers=4, dropout_prob=0.2926908887541995, accuracy=0.8552339809147391
2024-06-29 16:07:19,726 - INFO - Trial 14: learning_rate=0.0037204313622963684, batch_size=16, num_layers=3, dropout_prob=0.2978413244088713, accuracy=0.8704463928703248
2024-06-29 16:09:08,609 - INFO - Trial 15: learning_rate=0.000754216773763767, batch_size=16, num_layers=3, dropout_prob=0.21078533696991109, accuracy=0.8742690199003444
2024-06-29 16:17:20,819 - INFO - Trial 16: learning_rate=0.0007175142777867502, batch_size=16, num_layers=5, dropout_prob=0.15482963228972058, accuracy=0.8837119275190699
2024-06-29 16:25:37,439 - INFO - Trial 17: learning_rate=0.0004972631566827255, batch_size=16, num_layers=5, dropout_prob=0.16453225552076456, accuracy=0.8832584891732284
2024-06-29 16:33:50,125 - INFO - Trial 18: learning_rate=0.0006445921313409767, batch_size=16, num_layers=5, dropout_prob=0.1474379047183887, accuracy=0.8829528328001969
2024-06-29 16:42:03,053 - INFO - Trial 19: learning_rate=0.0004318619370138178, batch_size=16, num_layers=5, dropout_prob=0.1453555305943351, accuracy=0.882723830816314
